epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,64.5565,1.84258,5.26258,0.40795,1.22865,0.0276,6.96082,0.40998,0.32177,0.43287,0.15756,0.84863,0.15385,0.19066,0.0764,2.66935,6.76193,0.64374,1.62968,0.05645,0,0.001406,0.001406,0.001406
26,66.2537,1.65307,4.85895,0.29695,1.11743,0.02325,5.92037,0.40998,0.32177,0.43287,0.15756,0.84863,0.15385,0.19066,0.0764,2.66935,6.76193,0.64374,1.62968,0.05645,0,0.00138125,0.00138125,0.00138125
27,67.7914,1.42579,5.09695,0.3543,1.47667,0.02115,6.51732,0.54091,0.69231,0.62047,0.20041,0.38324,0.46154,0.3872,0.12447,2.56232,6.16118,0.58732,1.39832,0.05088,0,0.0013565,0.0013565,0.0013565
28,69.2615,1.52213,4.79968,0.35096,1.08642,0.02206,6.29117,0.54091,0.69231,0.62047,0.20041,0.38324,0.46154,0.3872,0.12447,2.56232,6.16118,0.58732,1.39832,0.05088,0,0.00133175,0.00133175,0.00133175
29,70.7672,1.50362,4.56805,0.35168,0.90823,0.02146,5.27469,0.54091,0.69231,0.62047,0.20041,0.38324,0.46154,0.3872,0.12447,2.56232,6.16118,0.58732,1.39832,0.05088,0,0.001307,0.001307,0.001307
30,72.4946,1.44636,3.71703,0.36915,0.99475,0.02258,5.28747,0.70549,0.69231,0.666,0.20773,0.32728,0.5245,0.31086,0.09482,2.55013,4.65503,0.45446,1.20306,0.04904,0,0.00128225,0.00128225,0.00128225
31,74.6294,1.4365,3.97451,0.37054,1.13141,0.02318,5.66318,0.70549,0.69231,0.666,0.20773,0.32728,0.5245,0.31086,0.09482,2.55013,4.65503,0.45446,1.20306,0.04904,0,0.0012575,0.0012575,0.0012575
32,76.133,1.51939,3.85708,0.49431,1.02773,0.02246,5.86209,0.76221,0.74117,0.71542,0.25126,0.47291,0.53846,0.42657,0.09972,2.45082,4.07554,0.53003,1.15403,0.04692,0,0.00123275,0.00123275,0.00123275
33,77.623,1.53,4.25181,0.32854,0.98349,0.01927,5.15907,0.76221,0.74117,0.71542,0.25126,0.47291,0.53846,0.42657,0.09972,2.45082,4.07554,0.53003,1.15403,0.04692,0,0.001208,0.001208,0.001208
34,79.1283,1.58617,4.65251,0.33272,1.22338,0.0267,6.32725,0.77291,0.53846,0.63127,0.21006,0.56681,0.4041,0.41527,0.10808,2.66876,4.06061,0.53623,1.06685,0.05106,0,0.00118325,0.00118325,0.00118325
35,80.6495,1.53255,4.06905,0.3285,0.72769,0.02173,5.38641,0.77291,0.53846,0.63127,0.21006,0.56681,0.4041,0.41527,0.10808,2.66876,4.06061,0.53623,1.06685,0.05106,0,0.0011585,0.0011585,0.0011585
36,82.1625,1.52637,3.78501,0.24486,0.94456,0.02255,5.06277,0.77291,0.53846,0.63127,0.21006,0.56681,0.4041,0.41527,0.10808,2.66876,4.06061,0.53623,1.06685,0.05106,0,0.00113375,0.00113375,0.00113375
37,83.8856,1.56784,4.68707,0.36236,1.17294,0.02136,5.17145,0.8712,0.5221,0.6887,0.15224,0.51149,0.53846,0.46904,0.11158,2.98321,4.06754,0.49473,1.32536,0.05673,0,0.001109,0.001109,0.001109
38,85.8053,1.36119,3.72863,0.38311,0.99447,0.01942,5.2151,0.8712,0.5221,0.6887,0.15224,0.51149,0.53846,0.46904,0.11158,2.98321,4.06754,0.49473,1.32536,0.05673,0,0.00108425,0.00108425,0.00108425
39,87.8019,1.55334,3.84487,0.31212,0.90745,0.02123,5.36401,0.71677,0.53846,0.70585,0.19495,0.71677,0.53846,0.57042,0.15237,2.90921,3.91956,0.46426,1.5483,0.0551,0,0.0010595,0.0010595,0.0010595
